character,dialog
TREMBLAY,I’m enjoying the mystery Thomas but I suppose you should tell me what you want to talk about?
LAWRENCE,Your last meeting with the Holy Father.
TREMBLAY,Uhuh? What about it?
LAWRENCE,I’ve been told it was difficult. Was it?
TREMBLAY,Difficult? No? Not that I can recall.
LAWRENCE,"I’m sorry to have to ask this, Joe, but... To be specific, I was told that the Holy Father demanded your resignation."
TREMBLAY,That’s absurd. I don’t know what... who told you?
LAWRENCE,Archbishop Wozniak.
TREMBLAY,Why would he say such a thing?
LAWRENCE,"So, there isn’t any truth in the allegation?"
TREMBLAY,"God, no, of course not! It’s absurd. You didn’t think...?"
LAWRENCE,I had to ask.
TREMBLAY,"No, I understand, of course. But, no. You can ask Monsignor Morales. He was at the meeting."
LAWRENCE,I would but at the moment we happen to be sequestered.
LAWRENCE,Can you think of any reason why Archbishop Wozniak would circulate such a story?
TREMBLAY,I can’t. I really...coffee? I’m quite... I’m shocked. He told you this himself?
TREMBLAY,Do you think...?
LAWRENCE,What?
TREMBLAY,"The drinking? I don’t like to bring it up, but w e both know his drinking has been getting heavier and perhaps it’s affecting his judgement, his mind even? I know my name has been mentioned as a future Pope and if the Archbishop does not approve of the idea then perhaps..."
TREMBLAY,I don’t know. I’m just trying to make sense of... and I know the poor man was shattered by the Holy Father’s death.
LAWRENCE,"Yes. Indeed. Again, Joe, my apologies for..."
TREMBLAY,"No, not at all. I quite understand."
LAWRENCE,What did you discuss with the Holy Father in that final meeting?
TREMBLAY,"Forgive me, but it was a private conversation, Thomas. And very precious. The last words I exchanged with the Holy Father."
LAWRENCE,I quite understand.
FATHER HAAS,Your Eminence?
FATHER HAAS,"How does it feel, Your Eminence?"
LAWRENCE,Good. Thank you.
FATHER HAAS,"Are you well, Eminence?"
LAWRENCE,I’m fine.
LAWRENCE,"Dear Brothers in Christ, at this moment of great uncertainty in the history of the Holy Church we must think first of the late Holy Father whose brilliant pontificate was a gift from God."
LAWRENCE,Now we must ask our Lord to send us a new Holy Father through the pastoral solicitude of the cardinal fathers and wemust pray to God for that loving assistance and ask Him to guide us to the right choice.
LAWRENCE,But you all know that.
LAWRENCE,Let me speak from the heart for the moment.
LAWRENCE,"St Paul said “Be subject to one another out of reverence for Christ.” To work together, and grow together, we must be tolerant."
LAWRENCE,"St Paul said that God’s gift to the Church is its variety. It is this variety, this diversity of people and views that gives our Church its strength. In the course of a long life in the service of our Mother th e Church, let me tell you that there is one sin I have come to fear above all others. Certainty. Certainty is the great enemy of unity. Certainty is the deadly enemy of tolerance. Even Christ was not certain at the end."
LAWRENCE,"“Dio mio, Dio mio, perché mi hai abbandonato?"""
LAWRENCE,"“My God, my God, why have you forsaken me?” He cried out in His agony at the ninth hour on the cross. Our faith is a living thing precisely because it walks hand in hand with doubt. If there was only certainty, and if there was no doubt, there would be no mystery, and therefore no need for faith. Let us pray that God will grant us a Pope who doubts. Let Him grant us a Pope who sins and asks for forgiveness. And carries on."
MONSIGNOR O'MALLEY,"Dean, your homily... I’m not entirely clear whether or not it should be placed in the Vatican archive or not? As it was not the homily you... actually... delivered?"
LAWRENCE,I’m not sure either.
LAWRENCE,"Was it that bad, Ray?"
MONSIGNOR O'MALLEY,"Not at all, Your Eminence. It has caused quite a stir. I don’t think anyone expected you to... to..."
LAWRENCE,Say something interesting?
LAWRENCE,"Thank you, Father. "
MONSIGNOR O'MALLEY,"I’ll have a transcript made of the text from the tape, Eminence. If there’s nothing else.."
LAWRENCE,I need you to do something for me. Monsignor Morales. I’m sure he’s still in Rome. Could you try and see him? Use my authority. 
MONSIGNOR O'MALLEY,"Today? I...I could try, your Eminence"
LAWRENCE,I need to know what happened in the final meeting between the Holy Father and Cardinal Tremblay. 
MONSIGNOR O'MALLEY,What...happened?
LAWRENCE,"Specifically, did anything occur that might render Cardinal Tremblay unfit to assume the papacy?"
LAWRENCE,Bless you.
TEDESCO,"Well, Dean..."
TEDESCO,St Paul as an Apostle of Doubt. I’ve never heard that one before
TEDESCO,"Wasn’t it St Paul who said, “If the trumpet shall give an uncertain note, who will prepare himself for battle?”>"
LAWRENCE,"Perhaps it would have been more palatable for you in Latin, Eminence?"
LAWRENCE,"I’m sorry, I forgot my key."
SISTER AGNES,I hope you take better care of the Keys of St Peter than you do of the keys to your room.
SISTER AGNES,That’s my pass key. If you could remember to return it.
BELLINI,"Well, I’m puzzled. You tell me you wanted to resign and then you step out of the shadows like this?"
BELLINI,Now - who knows how things may tu rn out?
MONSIGNOR O'MALLEY,Cardinal Gambino... Cardinal Dell’Acqua...
GUERRINI,"Antonio Cardinal Guerrini do so promise, pledge and swear, so help me God and these Holy Gospels which I touch with my hand."
CARDINAL BROTZKUS,"Romuald Cardinal Brotzkus do so promise, pledge and swear."
CARDINAL BROTZKUS,So help me God and these Holy Gospels which I touchwith my hand.
CARDINAL NAKITANDA,"Et ego Irumbus Cardinalis Nakitanda s pondeo, voveo ac iuro, sic me Deus adiuvet et haec Sancta Dei Evangelia, quae manu mea tango."
