Title,Writers,Script URL,IMDB ID,Year,Rating,Genres,Director,Cast and Characters
The Island,['Caspian Tredwell-Owen'],"https://imsdb.com/scripts/Island,-The.html",0399201,2005,6.8,"['Action', 'Sci-Fi', 'Thriller']",Michael Bay,"            Actor/Actress                        Characters     Sex
0           Ewan McGregor   [Lincoln Six Echo, Tom Lincoln]    Male
1      Scarlett Johansson  [Jordan Two Delta, Sarah Jordan]  Female
2          Djimon Hounsou                  [Albert Laurent]    Male
3               Sean Bean             [Dr. Bernard Merrick]    Male
4           Steve Buscemi                    [James McCord]    Male
..                    ...                               ...     ...
112          Laura Tatham                           [Clone]  Female
113            Talia Toms                [Tour Group Woman]  Female
114    Alexander von Roon  [Dept. of Operations Supervisor]    Male
115  Richard John Walters                          [Agnate]    Male
116         Olivia Weston                    [Bad-Ass Lady]  Female

[117 rows x 3 columns]"
It,"['Chase Palmer', 'Cary Fukunaga']",https://imsdb.com/scripts/It.html,1396484,2017,7.3,"['Fantasy', 'Horror']",Andy Muschietti,"           Actor/Actress              Characters     Sex
0         Jaeden Martell        [Bill Denbrough]    Male
1      Jeremy Ray Taylor           [Ben Hanscom]    Male
2          Sophia Lillis         [Beverly Marsh]  Female
3          Finn Wolfhard         [Richie Tozier]    Male
4          Chosen Jacobs           [Mike Hanlon]    Male
5      Jack Dylan Grazer        [Eddie Kaspbrak]    Male
6            Wyatt Oleff          [Stanley Uris]    Male
7         Bill Skarsgård             [Pennywise]    Male
8      Nicholas Hamilton          [Henry Bowers]    Male
9               Jake Sim         [Belch Huggins]    Male
10        Logan Thompson          [Victor Criss]    Male
11           Owen Teague   [Patrick Hockstetter]    Male
12  Jackson Robert Scott     [Georgie Denbrough]    Male
13       Stephen Bogaert             [Mr. Marsh]    Male
14         Stuart Hughes        [Officer Bowers]    Male
15     Geoffrey Pounsett        [Zach Denbrough]    Male
16             Pip Dwyer      [Sharon Denbrough]    Male
17        Molly Atkinson        [Sonia Kaspbrak]  Female
18       Steven Williams          [Leroy Hanlon]    Male
19    Elizabeth Saunders          [Mrs. Starret]  Female
20     Megan Charpentier                [Gretta]  Female
21           Joe Bostick             [Mr. Keene]    Male
22             Ari Cohen            [Rabbi Uris]    Male
23           Anthony Ulc       [Joe the Butcher]    Male
24          Javier Botet                  [Hobo]    Male
25          Katie Lunman          [Betty Ripsom]  Female
26      Carter Musselman          [Headless Boy]    Male
27             Tatum Lee                [Judith]  Female
28        Edie Inksetter               [Hostess]  Female
29         Martha Gibson             [Old Woman]  Female
30          Kasie Rayner  [Field Hockey Girl #1]  Female
31      Isabelle Nélisse      [Girl in Bathroom]  Female
32        Jocelyn Mattka          [Another Girl]  Female
33          Donald Tripe        [Old Man in Car]    Male
34            Liz Gordon      [Old Woman in Car]  Female
35        Paige Rosamond          [Dead Girl #1]  Female
36            Neil Crone          [Chief Borton]    Male
37          Sonia Gascón           [Mrs. Ripsom]  Female
38          Janet Porter      [Stanley's Mother]     NaN
39        Memo Díaz-Capt     [4th of July Clown]    Male
40        Chantal Vachon      [Girl in Magazine]  Female
41    Roberto Campanella    [Organ Player Clown]    Male
42       Amos Kaden Chea     [Off-Camera Singer]    Male
43             Cyndy Day      [Pharmacy Cashier]  Female
44      David Katzenberg            [El Aparato]    Male
45           Bobby Leigh              [Jonathan]    Male
46         Aimee Lenihan               [Student]  Female
47         Kylie Lenihan               [Student]  Female
48         James Magwood               [Student]    Male
49            Kate Moyer                [Esther]  Female
50         Sherry Nelson       [Woman on Street]  Female
51            Jimmy Star            [Man In Car]    Male
52        TheJoshuaPerez               [Student]    Male
53           Zac Tiessen               [Student]    Male
54    Kelly Van der Burg               [Abigail]  Female
55            Becky Wolf        [Girl on Street]  Female"
It Happened One Night,"['Samuel Hopkins Adams', 'Robert Riskin']",https://imsdb.com/scripts/It-Happened-One-Night.html,0025316,1934,8.1,"['Comedy', 'Romance']",Frank Capra,"        Actor/Actress                         Characters     Sex
0         Clark Gable                      [Peter Warne]    Male
1   Claudette Colbert                    [Ellie Andrews]  Female
2     Walter Connolly                [Alexander Andrews]    Male
3        Roscoe Karns                   [Oscar Shapeley]    Male
4      Jameson Thomas                     [King Westley]    Male
..                ...                                ...     ...
85       Dave Wengren                    [Bus Passenger]    Male
86         Billy West                         [Reporter]    Male
87     Charles Wilroy                    [Bus Passenger]    Male
88         Buck Woods  [Cook Serving Food to Passengers]    Male
89    Frank Yaconelli                             [Tony]    Male

[90 rows x 3 columns]"
It Happened One Night,"['Samuel Hopkins Adams', 'Robert Riskin']",https://imsdb.com/scripts/It-Happened-One-Night.html,0025316,1934,8.1,"['Comedy', 'Romance']",Frank Capra,"        Actor/Actress                         Characters     Sex
0         Clark Gable                      [Peter Warne]    Male
1   Claudette Colbert                    [Ellie Andrews]  Female
2     Walter Connolly                [Alexander Andrews]    Male
3        Roscoe Karns                   [Oscar Shapeley]    Male
4      Jameson Thomas                     [King Westley]    Male
..                ...                                ...     ...
85       Dave Wengren                    [Bus Passenger]    Male
86         Billy West                         [Reporter]    Male
87     Charles Wilroy                    [Bus Passenger]    Male
88         Buck Woods  [Cook Serving Food to Passengers]    Male
89    Frank Yaconelli                             [Tony]    Male

[90 rows x 3 columns]"
It Happened One Night,"['Samuel Hopkins Adams', 'Robert Riskin']",https://imsdb.com/scripts/It-Happened-One-Night.html,0025316,1934,8.1,"['Comedy', 'Romance']",Frank Capra,"        Actor/Actress                         Characters     Sex
0         Clark Gable                      [Peter Warne]    Male
1   Claudette Colbert                    [Ellie Andrews]  Female
2     Walter Connolly                [Alexander Andrews]    Male
3        Roscoe Karns                   [Oscar Shapeley]    Male
4      Jameson Thomas                     [King Westley]    Male
..                ...                                ...     ...
85       Dave Wengren                    [Bus Passenger]    Male
86         Billy West                         [Reporter]    Male
87     Charles Wilroy                    [Bus Passenger]    Male
88         Buck Woods  [Cook Serving Food to Passengers]    Male
89    Frank Yaconelli                             [Tony]    Male

[90 rows x 3 columns]"
It Happened One Night,"['Samuel Hopkins Adams', 'Robert Riskin']",https://imsdb.com/scripts/It-Happened-One-Night.html,0025316,1934,8.1,"['Comedy', 'Romance']",Frank Capra,"        Actor/Actress                         Characters     Sex
0         Clark Gable                      [Peter Warne]    Male
1   Claudette Colbert                    [Ellie Andrews]  Female
2     Walter Connolly                [Alexander Andrews]    Male
3        Roscoe Karns                   [Oscar Shapeley]    Male
4      Jameson Thomas                     [King Westley]    Male
..                ...                                ...     ...
85       Dave Wengren                    [Bus Passenger]    Male
86         Billy West                         [Reporter]    Male
87     Charles Wilroy                    [Bus Passenger]    Male
88         Buck Woods  [Cook Serving Food to Passengers]    Male
89    Frank Yaconelli                             [Tony]    Male

[90 rows x 3 columns]"
It's a Wonderful Life,"['Frank Capra', 'Frances Goodrich', 'Albert Hackett', 'Jo Swerling']",https://imsdb.com/scripts/It's-a-Wonderful-Life.html,0038650,1946,8.6,"['Drama', 'Family', 'Fantasy']",Frank Capra,"              Actor/Actress                           Characters     Sex
0             James Stewart                      [George Bailey]    Male
1                Donna Reed                         [Mary Hatch]  Female
2          Lionel Barrymore                         [Mr. Potter]    Male
3           Thomas Mitchell                        [Uncle Billy]    Male
4             Henry Travers                           [Clarence]    Male
..                      ...                                  ...     ...
126  Carl 'Alfalfa' Switzer                    [Freddie Othello]    Male
127           Victor Travis                     [Faculty Member]    Male
128              Max Wagner  [Cashier, Nick's Assistant Bouncer]    Male
129             Larry Wheat       [Building & Loan Board Member]    Male
130       Charles C. Wilson                            [Charlie]    Male

[131 rows x 3 columns]"
It's Complicated,['Nancy Meyers'],https://imsdb.com/scripts/It's-Complicated.html,1230414,2009,6.5,"['Comedy', 'Drama', 'Romance']",Nancy Meyers,"     Actor/Actress          Characters     Sex
0     Meryl Streep        [Jane Adler]  Female
1     Steve Martin     [Adam Schaffer]    Male
2     Alec Baldwin        [Jake Adler]    Male
3   John Krasinski            [Harley]    Male
4        Lake Bell      [Agness Adler]  Female
..             ...                 ...     ...
91  Pleasant Wayne       [Resort Wife]    Male
92   David Weincek  [Principal Dancer]    Male
93    Steven Weisz  [Graduation Guest]    Male
94   Oprah Winfrey              [Self]  Female
95     Meghan Wolf       [Waitress #2]  Female

[96 rows x 3 columns]"
The Italian Job,"['Donna Powers', 'Wayne Powers', 'Troy Kennedy-Martin']","https://imsdb.com/scripts/Italian-Job,-The.html",0317740,2003,7.0,"['Action', 'Crime', 'Thriller']",F. Gary Gray,"            Actor/Actress                    Characters     Sex
0           Mark Wahlberg              [Charlie Croker]    Male
1         Charlize Theron              [Stella Bridger]  Female
2       Donald Sutherland                [John Bridger]    Male
3           Jason Statham                [Handsome Rob]    Male
4              Seth Green                        [Lyle]    Male
5              Yasiin Bey                    [Left Ear]    Male
6           Edward Norton                       [Steve]    Male
7      Fausto Callegarini               [Italian Guard]    Male
8      Stefano Petronelli            [Garbageman, Thug]    Male
9            Fabio Scarpa            [Garbageman, Thug]    Male
10       Cristiano Bonora            [Garbageman, Thug]    Male
11          Tiberio Greco            [Garbageman, Thug]    Male
12          Jimmy Shubert             [First Detective]    Male
13        Tammi Cubilette            [Second Detective]  Female
14           Mary Portser       [Stella's Receptionist]  Female
15          Shawn Fanning                        [Self]    Male
16  Christopher Moore Jr.              [Young Left Ear]    Male
17         Terrelle Jones                 [Kid On Left]    Male
18      Valentine Ebunilo                [Kid On Right]    Male
19             Joel Homan               [Young Charlie]    Male
20            Erik Walker                       [Bully]    Male
21            Scott Adsit      [Actor Reharsing in Car]    Male
22     Boris Lee Krutonog                      [Yevhen]    Male
23         Julie Costello                       [Becky]  Female
24            Oscar Nuñez              [Security Guard]    Male
25               Franky G                      [Wrench]    Male
26             Marty Ryan            [ATSAC Supervisor]    Male
27          Aaron Speiser                   [Danielson]    Male
28             Olek Krupa                     [Mashkov]    Male
29                 Gawtti                 [Skinny Pete]    Male
30          Melanie Jayne          [Skinny Pete's Girl]  Female
31  Gregory Scott Cummins                    [Ukranian]    Male
32       Thomas Alexander                       [Vance]    Male
33         Martin Morales                       [Valet]    Male
34              Frank Nyi              [ATSAC Employee]    Male
35             Simon Rhee         [Armored Truck Guard]    Male
36         Merritt Yohnka           [Gold Truck Driver]  Female
37          Ryan B. Adams             [Metro Conductor]    Male
38             John Alden            [Motorcycle Guard]    Male
39         Gloria O'Brien  [Handsome Rob's Policewoman]  Female
40          Alfred Soltes           [Left Ear's Butler]    Male
41            Kelly Brook           [Lyle's Girlfriend]  Female
42          Alan Blackney                  [Pedestrian]    Male
43         Jeanine Heller              [Girl on Street]  Female
44          John H. Tobin          [Biltmore Bartender]    Male"
The Jacket,"['Marc Rocco', 'Tom Bleecker', 'Massy Tadjedin']","https://imsdb.com/scripts/Jacket,-The.html",0366627,2005,7.1,"['Drama', 'Fantasy', 'Mystery']",John Maybury,"            Actor/Actress                 Characters     Sex
0            Adrien Brody              [Jack Starks]    Male
1         Keira Knightley             [Jackie Price]  Female
2      Kris Kristofferson        [Dr. Thomas Becker]    Male
3    Jennifer Jason Leigh        [Dr. Beth Lorenson]  Female
4             Kelly Lynch               [Jean Price]  Female
5             Brad Renfro             [The Stranger]    Male
6            Daniel Craig           [Rudy Mackenzie]    Male
7       Steven Mackintosh              [Dr. Hopkins]    Male
8           Brendan Coyle                    [Damon]    Male
9      Mackenzie Phillips            [Nurse Harding]  Female
10           Laura Marano             [Young Jackie]  Female
11            Jason Lewis         [Officer Harrison]    Male
12        Richard Dillane           [Captain Medley]    Male
13            Jonah Lotan                [Intern #1]    Male
14           Angel Coulby                [Intern #2]  Female
15          Paul Birchard                   [Doctor]    Male
16          Nigel Whitmey               [Lieutenant]    Male
17             Ian Porter                    [Major]    Male
18        Anthony Edridge               [Dr. Morgan]    Male
19            Kerry Shale               [Prosecutor]    Male
20         Angus MacInnes                    [Judge]    Male
21         Richard Durden                 [Dr. Hale]    Male
22        Tristan Gemmill             [Officer Nash]    Male
23          Colin Stinton             [Jury Foreman]    Male
24           Tara Summers               [Nurse Nina]  Female
25         Angelo Andreou         [Babak, Iraqi Boy]    Male
26       Teresa Gallagher              [Nurse Sally]  Female
27              Anne Kidd     [State Representative]  Female
28          Charneh Demir  [Jamille, Iranian Mother]  Female
29  Frances Brady-Stewart           [Woman with Dog]  Female
30             Lolly Susi                    [Nurse]  Female
31          Garrick Hagon           [Defense Lawyer]    Male
32                   Fish          [Jimmy Fleischer]    Male
33             Alan Marsh                    [Extra]    Male
34         Eunice Olumide          [Military Junior]  Female
35            Scott Peden        [Wounded US Marine]    Male
36               Nik Weir                  [Patient]    Male"
Jackie Brown,['Quentin Tarantino'],https://imsdb.com/scripts/Jackie-Brown.html,0119396,1997,7.5,"['Crime', 'Drama', 'Thriller']",Quentin Tarantino,"                Actor/Actress                                      Characters     Sex
0                   Pam Grier                                  [Jackie Brown]  Female
1           Samuel L. Jackson                                 [Ordell Robbie]    Male
2              Robert Forster                                    [Max Cherry]    Male
3               Bridget Fonda                                       [Melanie]  Female
4              Michael Keaton                                 [Ray Nicolette]    Male
5              Robert De Niro                                    [Louis Gara]    Male
6               Michael Bowen                                   [Mark Dargus]    Male
7                Chris Tucker                           [Beaumont Livingston]    Male
8            LisaGay Hamilton                                      [Sheronda]  Female
9              Tom Lister Jr.                                       [Winston]    Male
10             Hattie Winston                                        [Simone]  Female
11                   Sid Haig                                         [Judge]    Male
12               Aimee Graham                   [Amy, Billingsley Sales Girl]  Female
13             Ellis Williams                            [Cockatoo Bartender]    Male
14             Tangie Ambrose                     [Billingsley Sales Girl #2]  Female
15     T'Keyah Crystal Keymáh              [Raynelle, Ordell's Junkie Friend]  Female
16         Venessia Valentino                         [Cabo Flight Attendant]  Female
17                Diana Uribe                                   [Anita Lopez]  Female
18                Renee Kelly                             [Cocktail Waitress]  Female
19        Elizabeth McInerney                            [Bartender at Sam's]  Female
20              Colleen Mayne                         [Girl at Security Gate]  Female
21             Laura Lovelace                           [Steakhouse Waitress]  Female
22            Christine Lydon           [Tec-9 Sidney - Chicks Who Love Guns]  Female
23                Julia Ervin        [Steyr AUG Cindy - Chicks Who Love Guns]  Female
24                Juliet Long           [AK-47 Gloria - Chicks Who Love Guns]  Female
25  Michelle Berube-Schneider   [Baretta 12S Brittany - Chicks Who Love Guns]  Female
26              Gillian White  [Mossberg 500 Tammy Jo - Chicks Who Love Guns]  Female
27             Candice Briese                                    [The Deputy]  Female
28                  Gary Mann                                    [The Deputy]    Male
29           Jeffrey Deedrick                                   [The Sheriff]    Male
30                Roy Nesvold                                   [The Sheriff]    Male
31       Herbert Hans Wilmsen                                   [The Sheriff]    Male
32              Helmut Berger                                  [Nanni Vitali]    Male
33              Denise Crosby                               [Public Defender]  Female
34                Tony Curtis                                          [Self]    Male
35         Carolyn De Fonseca                               [Giuliana Caroli]  Female
36           Johnny Ray Jones          [Cockatoo Bar Customer, Mall Security]    Male
37                Marisa Mell                               [Giuliana Caroli]  Female
38              George Meyers                                           [Cop]    Male
39              Arnold Montey                          [Passenger in Airport]    Male
40               Glendon Rich                            [Restaurant Regular]    Male
41           Mary Ann Schmidt                              [Flight Attendant]  Female
42          Quentin Tarantino                       [Answering Machine Voice]    Male
43        Frank von Kuegelgen                                  [Nanni Vitali]    Male
44            D. Danny Warhol                          [Passenger in Airport]    Male"
Jacob's Ladder,['Bruce Joel Rubin'],https://imsdb.com/scripts/Jacob's-Ladder.html,0099871,1990,7.4,"['Drama', 'Horror', 'Mystery']",Adrian Lyne,"          Actor/Actress                   Characters     Sex
0           Tim Robbins                      [Jacob]    Male
1        Elizabeth Peña                     [Jezzie]  Female
2          Danny Aiello                      [Louis]    Male
3           Matt Craven                    [Michael]    Male
4   Pruitt Taylor Vince                       [Paul]    Male
..                  ...                          ...     ...
67          Steve Baker                [Pool Player]    Male
68           Orson Bean  [Self - Game Show Panelist]    Male
69      Macaulay Culkin                       [Gabe]    Male
70           Ray DeFeis    [Straight Jacket Patient]    Male
71          Ed Jupp Jr.             [Eyeless Doctor]    Male

[72 rows x 3 columns]"
Jade,['Joe Eszterhas'],https://imsdb.com/scripts/Jade.pdf,0113451,1995,5.3,"['Crime', 'Drama', 'Thriller']",William Friedkin,"              Actor/Actress                             Characters     Sex
0              David Caruso                        [David Corelli]    Male
1          Linda Fiorentino                          [Trina Gavin]  Female
2          Chazz Palminteri                           [Matt Gavin]    Male
3            Richard Crenna                     [Governor Edwards]    Male
4             Michael Biehn                         [Bob Hargrove]    Male
5              Donna Murphy                         [Karen Heller]  Female
6                  Ken King                          [Petey Vasko]    Male
7            Holt McCallany                         [Bill Barrett]    Male
8                David Hunt                        [Pat Callendar]    Male
9            Angie Everhart                      [Patrice Jacinto]  Female
10              Kevin Tighe                 [D.A. Arnold Clifford]    Male
11             Robin Thomas                            [Mr. Green]    Male
12              Jay Jacobus                     [Justin Henderson]    Male
13           Victoria Smith                                [Sandy]  Female
14              Drew Snyder                            [Executive]    Male
15             Bud Bostwick           [Justin Henderson's Brother]    Male
16              Darryl Chan                            [Tommy Loy]    Male
17            Graham Cowley                       [Deputy Coroner]    Male
18           Nellie Cravens                 [Governor's Secretary]  Female
19               Ron Ulstad                         [Kyle Medford]    Male
20           Allen Gebhardt                         [Forensic Man]    Male
21          Garrett Griffin                       [Police Officer]    Male
22              Julian Hill                             [Forensic]    Male
23         Buddy Joe Hooker          [Assistant District Attorney]    Male
24               Bobby Bass          [Assistant District Attorney]    Male
25            Sandy Berumen          [Assistant District Attorney]    Male
26               Dick Ziker          [Assistant District Attorney]    Male
27           Arthur Johnson                                  [Cop]    Male
28         Paul Schlotfeldt                                  [Cop]    Male
29  Rene Charles LaPrevotte                                  [Cop]    Male
30              John Loftus                                  [Cop]    Male
31                Tom Walsh                                  [Cop]    Male
32        Howard Weathersby                                  [Cop]    Male
33          Kevin Whitfield                                  [Cop]    Male
34               John Wyman                                  [Cop]    Male
35               Mini Mehra                             [Resident]  Female
36          Nicholas Tarvid                                [Pilot]    Male
37          Harold Morrison                             [Co-Pilot]    Male
38          William Piletic                               [Priest]    Male
39          Olimpia Saravia                                 [Maid]  Female
40         Tina J. Spangler                            [Secretary]  Female
41             Isaac Spivey                         [Homeless Man]    Male
42            Kenneth Tigar                        [Corporate Man]    Male
43             Bill Toliver                     [Medical Examiner]    Male
44     James Edward Veurink                            [Executive]    Male
45              Victor Wong                             [Mr. Wong]    Male
46                 Ron Yuan                           [Technician]    Male
47             Peter Duchin  [Black & White Ball orchestra leader]    Male
48     Mary Christina Brown       [Young Girl in Chinatown Parade]  Female
49            Richard Conti                             [The John]    Male
50                 Bob Dini                       [Society Dancer]    Male
51            Trent Hopkins    [Gentleman listening to Tina Gavin]    Male
52               Jeff Scott                               [Waiter]    Male
53          Victor Talmadge                               [Lawyer]    Male
54            Erick Vinther                            [Cameraman]    Male"
Jane Eyre,['Moira Buffini'],https://imsdb.com/scripts/Jane-Eyre.html,1229822,2011,7.3,"['Drama', 'Mystery', 'Romance']",Cary Joji Fukunaga,"                    Actor/Actress                Characters     Sex
0                  Mia Wasikowska               [Jane Eyre]  Female
1                      Jamie Bell          [St John Rivers]    Male
2                       Su Elliot                  [Hannah]  Female
3               Holliday Grainger            [Diana Rivers]  Female
4                 Tamzin Merchant             [Mary Rivers]  Female
5                 Amelia Clarkson              [Young Jane]  Female
6                   Craig Roberts               [John Reed]    Male
7                   Sally Hawkins               [Mrs. Reed]  Female
8                   Lizzie Hopley              [Miss Abbot]  Female
9                   Jayne Wisener                  [Bessie]  Female
10                   Freya Wilson              [Eliza Reed]  Female
11                    Emily Haigh          [Georgiana Reed]  Female
12                 Simon McBurney        [Mr. Brocklehurst]    Male
13                   Sandy McDade          [Miss Scatcherd]  Female
14                    Freya Parks             [Helen Burns]  Female
15                    Edwina Elek             [Miss Temple]  Female
16            Ewart James Walters                    [John]    Male
17                     Judi Dench            [Mrs. Fairfax]  Female
18                 Georgia Bourke                    [Leah]  Female
19                    Sally Reeve                  [Martha]  Female
20             Romy Settbon Moore            [Adèle Varens]  Female
21  Églantine Rembauville-Nicolle                  [Sophie]  Female
22             Michael Fassbender               [Rochester]    Male
23                Rosie Cavaliero             [Grace Poole]  Female
24                  Angela Curran               [Undercook]  Female
25                   Imogen Poots          [Blanche Ingram]  Female
26                    Sophie Ward             [Lady Ingram]  Female
27                Joe Van Moyland             [Lord Ingram]    Male
28                Hayden Phillips            [Colonel Dent]    Male
29                 Laura Phillips               [Mrs. Dent]  Female
30                    Harry Lloyd           [Richard Mason]    Male
31                    Ned Dennehy              [Dr. Carter]    Male
32                  Joseph Kloska          [Clergyman Wood]    Male
33                    Ben Roberts                  [Briggs]    Male
34                Valentina Cervi            [Bertha Mason]  Female
35                    Ash Baggott                 [Timmins]    Male
36                    Sarah Hough  [Georgiana Reed - Adult]  Female"
Jason X,['Todd Farmer'],https://imsdb.com/scripts/Jason-X.html,0211443,2001,4.4,"['Action', 'Horror', 'Sci-Fi']",James Isaac,"          Actor/Actress                    Characters     Sex
0           Kane Hodder  [Jason Voorhees, Uber Jason]    Male
1           Jeff Geddis        [Johnson (Soldier #1)]    Male
2             Lexa Doig                       [Rowan]  Female
3      David Cronenberg                  [Dr. Wimmer]    Male
4         Markus Parilo                 [Sgt. Marcus]    Male
5        Jonathan Potts              [Professor Lowe]    Male
6            Lisa Ryder                   [Kay-Em 14]  Female
7        Dov Tiefenbach                      [Azrael]    Male
8        Chuck Campbell                    [Tsunaron]    Male
9           Melyssa Ade                     [Janessa]  Female
10           Boyd Banks                     [Fat Lou]    Male
11         Barna Moricz                      [Kicker]    Male
12          Dylan Bierk                      [Briggs]    Male
13          Todd Farmer                      [Dallas]    Male
14         Peter Mensah                [Sgt. Brodski]    Male
15      Philip Williams                      [Crutch]    Male
16       Melody Johnson                       [Kinsa]  Female
17         Kristi Angus                    [Adrienne]  Female
18        Derwin Jordan                   [Waylander]    Male
19         Yani Gellman                      [Stoney]    Male
20  Robert A. Silverman                [Dieter Perez]    Male
21        Steve Lucescu                      [Condor]    Male
22        Thomas Seniuk                        [Sven]    Male
23        Amanda Brugel                        [Geko]  Female
24        Roman Podhora                [Rescue Pilot]    Male
25        Kaye Penaflor             [VR Teen Girl #1]  Female
26           Tania Maro             [VR Teen Girl #2]  Female
27            Mika Ward            [Campfire Teen #1]  Female
28           David Cook            [Campfire Teen #2]    Male
29          James Isaac                      [Doctor]    Male"
Jaws,"['Peter Benchley', 'Carl Gottlieb']",https://imsdb.com/scripts/Jaws.html,0073195,1975,8.1,"['Adventure', 'Mystery', 'Thriller']",Steven Spielberg,"         Actor/Actress       Characters     Sex
0         Roy Scheider          [Brody]    Male
1          Robert Shaw          [Quint]    Male
2     Richard Dreyfuss         [Hooper]    Male
3        Lorraine Gary    [Ellen Brody]  Female
4      Murray Hamilton         [Vaughn]    Male
..                 ...              ...     ...
79    Paul F. Tremblay      [Deputy #2]    Male
80        Hershel West      [Salvatore]    Male
81  Robert Whelden Jr.      [Policeman]    Male
82        Alfred Wilde  [Harry Wiseman]    Male
83          Dick Young          [Pratt]    Male

[84 rows x 3 columns]"
Jaws 2,"['Carl Gottlieb', 'Howard Sackler']",https://imsdb.com/scripts/Jaws-2.html,0077766,1978,5.8,"['Adventure', 'Horror', 'Thriller']",Jeannot Szwarc,"           Actor/Actress               Characters     Sex
0           Roy Scheider                  [Brody]    Male
1          Lorraine Gary            [Ellen Brody]  Female
2        Murray Hamilton           [Mayor Vaughn]    Male
3         Joseph Mascolo               [Peterson]    Male
4         Jeffrey Kramer              [Hendricks]    Male
5   Collin Wilcox Paxton             [Dr. Elkins]    Male
6         Ann Dusenberry                   [Tina]  Female
7            Mark Gruner                   [Mike]    Male
8              Barry Coe                [Andrews]    Male
9           Susan French               [Old Lady]  Female
10         Gary Springer                   [Andy]    Male
11          Donna Wilkes                 [Jackie]  Female
12            Gary Dubin                     [Ed]    Male
13          John Dukakis                   [Polo]    Male
14      G. Thomas Dunlop                  [Timmy]    Male
15         David Elliott                  [Larry]    Male
16           Marc Gilpin                   [Sean]    Male
17          Keith Gordon                   [Doug]    Male
18          Cindy Grover                   [Lucy]  Female
19            Ben Marley                [Patrick]    Male
20         Martha Swatek                  [Marge]  Female
21       Billy Van Zandt                    [Bob]    Male
22           Gigi Vorgan                 [Brooke]  Female
23       Jerry M. Baxter       [Helicopter Pilot]    Male
24          Jean Coulter        [Ski Boat Driver]    Male
25         Daphne Dibble             [Swimmer #1]  Female
26     Christine Freeman            [Water Skier]  Female
27          April Gilpin                  [Renee]  Female
28      William Griffith              [Lifeguard]    Male
29        Gregory Harris               [Diver #2]    Male
30       Coll Red McLean                    [Red]  Female
31     Susan O. McMillan            [Girl Sailor]  Female
32          David Owsley             [Boy Sailor]    Male
33      Allan L. Paddack                 [Crosby]    Male
34        Oneida Rollins       [Ambulance Driver]  Female
35    Frank James Sparks               [Diver #1]    Male
36     Thomas A. Stewart  [Assistant Dive Master]    Male
37          David Tintle             [Swimmer #2]    Male
38            Jim Wilson     [Swimmer With Child]    Male
39          Kathy Wilson            [Mrs. Bryant]  Female
40           Herb Muller           [Phil Fogarty]    Male
41  Fritzi Jane Courtney            [Selectwoman]  Female
42          Alfred Wilde           [Selectman #1]    Male
43       Cyprian R. Dube           [Selectman #2]    Male
44       Mary A. Gaffney           [Mrs. Silvera]  Female
45            Bill Green              [Irate Man]    Male
46                 Bruce                  [Shark]    Male
47           George Buck  [Irate 'Letterbox' Man]    Male
48           Chris Burke            [Hot Dog Boy]    Male
49          Robin Lebert              [Sunbather]    Male
50         Michael Smith                  [Extra]    Male"
Jay and Silent Bob Strike Back,['Kevin Smith'],https://imsdb.com/scripts/Jay-and-Silent-Bob-Strike-Back.html,0261392,2001,6.8,['Comedy'],Kevin Smith,"          Actor/Actress                   Characters     Sex
0             Amy Noble          [Baby Bob's Mother]  Female
1    Harley Quinn Smith            [Baby Silent Bob]  Female
2        Ever Carradine          [Baby Jay's Mother]  Female
3   Brian Andrew Saible                   [Baby Jay]    Male
4          Gavin Brooks                   [Baby Jay]    Male
..                  ...                          ...     ...
92          Bob Schreck   [Gus Van Sant's Assistant]    Male
93          Scott Sener                [Quiet Scott]    Male
94       Rusty Sheridan              [Afroed Whitey]    Male
95          John Strand  [Miramax Security Guard #2]    Male
96    Nicole Vanderhoff   [GWH2 Extra Glaring at PA]  Female

[97 rows x 3 columns]"
