character,dialog
OPPENHEIMER,Not that spring to mind. Returning to America I accepted appointments at both Caltech...
OPPENHEIMER,...and up at Berkeley.
OPPENHEIMER,"Dr. Lawrence, I presume."
LAWRENCE,You must be Oppenheimer. I hear you want to start a school of quantum theory.
OPPENHEIMER,I am starting it. Next door.
LAWRENCE,They put you in there?
OPPENHEIMER,I asked for it. I wanted to be close to you experimentalists.
LAWRENCE,Theory will get you only so far. We’re building a machine to accelerate electrons.
OPPENHEIMER,Magnificent.
LAWRENCE,Would you like to help?
OPPENHEIMER,Build it? No. But I’m working on theories I’d like to test with it.
LAWRENCE,When do you start teaching?
OPPENHEIMER,I’ve got my first in an hour.
LAWRENCE,Seminar?
OPPENHEIMER,Pupil.
LAWRENCE,One student? That’s it?
OPPENHEIMER,I’m teaching something no one here’s dreamt of. But once people start hearing what you can do with it...
LAWRENCE,There’s no going back.
STUDENT,"I’m sorry, I must have missed-"
OPPENHEIMER,"No, this is it. Mr Lomanitz, right?"
OPPENHEIMER,What do you know about quantum mechanics?
LOMANITZ,I have a grasp on the basics-
OPPENHEIMER,Then you’re doing it wrong. Is light made up of particles or waves?
OPPENHEIMER,Quantum mechanics says it’s both- how can it be both?
LOMANITZ,It can’t.
OPPENHEIMER,It can’t. But it is. It’s paradoxical and yet... it works.
OPPENHEIMER,You’re gonna be okay.
OPPENHEIMER,Consider a star... a vast furnace burning in outer space...
OPPENHEIMER,"Fire pushing outwards against its own gravity- balanced. But if its furnace cools, gravity starts winning. It contracts..."
SNYDER,Density increases...
OPPENHEIMER,Increasing gravity...
SNYDER,Increasing density. A vicious cycle. Until... What’s the limit here?
OPPENHEIMER,I don’t know. See where the math takes us. I guarantee it’s somewhere no one’s been before.
SNYDER,Me?
OPPENHEIMER,Your math’s better than mine.
OPPENHEIMER,Einstein can’t accept the Copenhagen interpretation-
LOMANITZ,'God doesn’t play dice.'
OPPENHEIMER,Except he does. Bohr showed us how...
LAWRENCE,You shouldn’t let them bring their politics into the classroom...
OPPENHEIMER,"I wrote that. Lawrence, you embrace the revolution in physics, can’t you see it everywhere else? Picasso, Stravinsky, Freud, Marx..."
LAWRENCE,"This is America, Oppie. We had our revolution. Seriously, keep it out of the lab."
OPPENHEIMER,"Well, out of the lab, my landlady’s having a discussion group tonight."
LAWRENCE,I’ve sampled the Berkeley political scene- it’s all philosophy postgrads and Communists talking integration.
OPPENHEIMER,You don’t care about integration?
LAWRENCE,"I want to vote for it, not talk about it. Let’s get dinner."
OPPENHEIMER,I’m meeting my brother there.
SENATOR BARTLETT,Dr Oppenheimer’s file contained details of FBI surveillance on his activities at Berkeley...
STRAUSS,"Yes, as I recall."
SENATOR BARTLETT,Why would they have started a file on Dr Oppenheimer before the war?
STRAUSS,You’d have to ask Mr Hoover.
SENATOR BARTLETT,"I’m asking you, Admiral Strauss."
STRAUSS,My assumption is that it was connected to his left-wing political activities.
SENATOR BARTLETT,How would these activities have come to the attention of the FBI?
STRAUSS,"Well, if I remember correctly..."
STRAUSS,The FBI was taking license plates outside suspected Communist gatherings and his name popped up.
FRANK,Gotcha!
VOICE,Robert! Come meet Chevalier.
WASHBURN,"Dr Haakon Chevalier, Dr Robert Oppenheimer, and vice versa."
OPPENHEIMER,"This is my little brother, Frank. Oh, and... uh..."
JACKIE,Still Jackie.
CHEVALIER,"Hello, Still Jackie."
OPPENHEIMER,Chevalier. You’re in languages?
CHEVALIER,And your reputation precedes you.
OPPENHEIMER,I’m blushing- what’ve you heard?
CHEVALIER,You’re teaching a radical new approach to physics that I have no chance of understanding. But I hadn’t heard you were a party member-
OPPENHEIMER,I’m not.
FRANK,Not yet.
JACKIE,Frank and I are thinking of joining-
OPPENHEIMER,I support of range of causes.
CHEVALIER,The Spanish Civil War?
OPPENHEIMER,A democratic republic being overthrown by fascist thugs? Who wouldn’t be?
CHEVALIER,Our government- they think socialism’s a bigger threat than fascism.
OPPENHEIMER,Not for long- look at what the Nazis are doing to the Jews. I send funds to colleagues in Germany to emigrate. I have to do something. My own work is so... abstract.
CHEVALIER,What’re you working on?
OPPENHEIMER,What happens to stars when they die.
CHEVALIER,Do stars die?
OPPENHEIMER,"If they do they’d cool, then collapse. And the bigger the star, the more violent its demise. Their gravity gets so concentrated..."
OPPENHEIMER,...it swallows everything. Even light.
CHEVALIER,Good God. Can that really happen?
OPPENHEIMER,"The math says it can. If we can get published, maybe one day an astronomer finds one. But all I have is theory. Which can’t impact people’s lives."
CHEVALIER,"If you’re sending money to Spain, do it through the Communist Party- they can get it to the front lines."
TATLOCK,Mary sent me with these. I’m Jean.
OPPENHEIMER,Robert.
CHEVALIER,Haakon Chevalier. The union meeting at Serber’s last month?
CHEVALIER,Robert here says he’s not a Communist.
TATLOCK,Then he doesn’t know enough about it.
OPPENHEIMER,I’ve read Das Kapital. All three volumes. Does that count?
CHEVALIER,That would make you better read than most Party members.
OPPENHEIMER,"It’s turgid stuff, but there’s some thinking... 'Ownership is theft.'"
TATLOCK,"'Property', not 'Ownership'."
OPPENHEIMER,"Sorry, I read it in the original German."
TATLOCK,"It’s not about the book, it’s about the ideas. You sound uncommitted."
OPPENHEIMER,I’m committed to thinking freely about how to improve our world. Why limit yourself to one dogma?
TATLOCK,You’re a physicist- do you pick and choose rules? Or do you use the discipline to channel your energies into progress?
OPPENHEIMER,I like a little wiggle room. Do you always toe the party line?
TATLOCK,"I like my wiggle room, too."
OPPENHEIMER,"Wait, wait-"
TATLOCK,Unexpected.
OPPENHEIMER,What?
TATLOCK,For a physicist.
OPPENHEIMER,You’ve only got a shelf full of Freud?
TATLOCK,Actually my background’s more-
OPPENHEIMER,Jungian.
TATLOCK,You know analysis.
OPPENHEIMER,When I was a postgrad at Cambridge I had some trouble.
TATLOCK,I’ll bite.
OPPENHEIMER,I tried to poison my tutor.
TATLOCK,Did you hate him?
OPPENHEIMER,I liked him very much.
TATLOCK,You just needed to get laid.
OPPENHEIMER,"Wow. Took my analysts two years, and I’m not sure they ever put it that succinctly."
TATLOCK,You had them convinced you’re more complicated than you really are.
OPPENHEIMER,"We’re all simple souls, I guess."
TATLOCK,Not me.
TATLOCK,What’s this?
OPPENHEIMER,Sanskrit.
TATLOCK,You can read this?
OPPENHEIMER,I’m learning-
TATLOCK,Go on then.
OPPENHEIMER,"In this part, Vishnu reveals his multi-armed self-"
TATLOCK,Read the words.
OPPENHEIMER,'And now I am become Death...
OPPENHEIMER,...destroyer of worlds.'
OPPENHEIMER,"It’ll break before dawn. The air cools overnight. Just before dawn, the storm dies."
FRANK,I’m getting married.
LAWRENCE,"Congratulations, Frank."
OPPENHEIMER,To Jackie?
FRANK,"Yeah, to Jackie. The waitress."
LAWRENCE,"Oppie, you’re right- it’s letting up. I’ll see if there’s any stars."
FRANK,All your talk about the common man but Jackie’s not good enough? We join the Party- you can’t hide your disapproval- why? Because that’s supposed to be your thing?
OPPENHEIMER,"I haven’t joined the Party, Frank. And I don’t think she should’ve convinced you to, either-"
FRANK,Half the faculty’s Communist-
OPPENHEIMER,Not that half.
