oscar_year,award,genero,anger,disgust,fear,joy,neutral,sadness,surprise
2014,Original Screenplay,male,0.0,12.5,0.0,37.5,25.0,12.5,12.5
2015,Adapted Screenplay,female,0.0,0.0,0.0,20.0,40.0,20.0,20.0
2015,Adapted Screenplay,male,29.2,12.5,12.5,8.3,25.0,0.0,12.5
2015,Best Picture,female,0.0,50.0,8.3,0.0,8.3,0.0,33.300000000000004
2015,Best Picture,male,20.0,28.000000000000004,4.0,4.0,20.0,12.0,12.0
2015,Original Screenplay,female,0.0,50.0,8.3,0.0,8.3,0.0,33.300000000000004
2015,Original Screenplay,male,20.0,28.000000000000004,4.0,4.0,20.0,12.0,12.0
2016,Adapted Screenplay,female,8.0,4.0,4.0,4.0,52.0,4.0,24.0
2016,Adapted Screenplay,male,19.2,15.1,4.1000000000000005,9.6,38.4,1.4000000000000001,12.3
2016,Best Picture,female,0.0,0.0,0.0,0.0,58.8,0.0,41.199999999999996
2016,Best Picture,male,4.2,14.6,4.2,4.2,47.9,4.2,20.8
2016,Original Screenplay,female,0.0,0.0,0.0,0.0,58.8,0.0,41.199999999999996
2016,Original Screenplay,male,4.2,14.6,4.2,4.2,47.9,4.2,20.8
2017,Adapted Screenplay,female,80.0,20.0,0.0,0.0,0.0,0.0,0.0
2017,Adapted Screenplay,male,47.099999999999994,23.5,0.0,0.0,11.799999999999999,0.0,17.599999999999998
2017,Best Picture,female,80.0,20.0,0.0,0.0,0.0,0.0,0.0
2017,Best Picture,male,47.099999999999994,23.5,0.0,0.0,11.799999999999999,0.0,17.599999999999998
2017,Original Screenplay,female,14.299999999999999,14.299999999999999,4.8,14.299999999999999,9.5,19.0,23.799999999999997
2017,Original Screenplay,male,26.700000000000003,6.7,3.3000000000000003,10.0,16.7,13.3,23.3
2018,Adapted Screenplay,female,25.0,12.5,12.5,12.5,0.0,12.5,25.0
2018,Adapted Screenplay,male,14.299999999999999,14.299999999999999,0.0,0.0,42.9,0.0,28.599999999999998
2018,Best Picture,female,0.0,14.299999999999999,14.299999999999999,14.299999999999999,28.599999999999998,28.599999999999998,0.0
2018,Best Picture,male,25.0,0.0,6.2,12.5,37.5,6.2,12.5
2018,Original Screenplay,female,9.1,36.4,0.0,18.2,27.3,0.0,9.1
2018,Original Screenplay,male,36.8,5.3,5.3,10.5,21.099999999999998,5.3,15.8
2019,Adapted Screenplay,female,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2019,Adapted Screenplay,male,27.3,12.1,3.0,18.2,33.300000000000004,0.0,6.1
2019,Best Picture,female,22.2,22.2,0.0,0.0,33.300000000000004,0.0,22.2
2019,Best Picture,male,29.599999999999998,7.3999999999999995,3.6999999999999997,13.0,31.5,3.6999999999999997,11.1
2019,Original Screenplay,female,22.2,22.2,0.0,0.0,33.300000000000004,0.0,22.2
2019,Original Screenplay,male,29.599999999999998,7.3999999999999995,3.6999999999999997,13.0,31.5,3.6999999999999997,11.1
2020,Adapted Screenplay,female,30.0,20.0,0.0,20.0,0.0,10.0,20.0
2020,Adapted Screenplay,male,4.5,36.4,13.600000000000001,9.1,22.7,4.5,9.1
2020,Best Picture,female,25.0,37.5,0.0,0.0,25.0,12.5,0.0
2020,Best Picture,male,12.5,0.0,0.0,12.5,25.0,0.0,50.0
2020,Original Screenplay,female,25.0,37.5,0.0,0.0,25.0,12.5,0.0
2020,Original Screenplay,male,12.5,0.0,0.0,12.5,25.0,0.0,50.0
2021,Adapted Screenplay,female,0.0,0.0,25.0,0.0,25.0,0.0,50.0
2021,Adapted Screenplay,male,0.0,0.0,0.0,0.0,50.0,25.0,25.0
2021,Best Picture,female,6.7,6.7,0.0,20.0,40.0,6.7,20.0
2021,Best Picture,male,0.0,8.7,0.0,8.7,65.2,8.7,8.7
2021,Original Screenplay,female,0.0,30.0,20.0,0.0,30.0,0.0,20.0
2021,Original Screenplay,male,15.0,15.0,0.0,0.0,25.0,15.0,30.0
2022,Adapted Screenplay,female,6.2,25.0,0.0,31.2,25.0,6.2,6.2
2022,Adapted Screenplay,male,22.7,13.600000000000001,0.0,18.2,27.3,0.0,18.2
2022,Best Picture,female,6.2,25.0,0.0,31.2,25.0,6.2,6.2
2022,Best Picture,male,22.7,13.600000000000001,0.0,18.2,27.3,0.0,18.2
2022,Original Screenplay,female,22.2,0.0,5.6000000000000005,11.1,50.0,11.1,0.0
