character,dialog
ANI,Well Russian-American I guess.
CRYSTAL,Born there?
ANI,Yeah but I been here since I was three.
CRYSTAL,"That’s cool. Yeah, I’m Russian... but I was born here. Sucks."
ANI,How old are you?
CRYSTAL,17.
ANI,And you two are dating?
CRYSTAL,Tom? No! He’s my cousin. Hey... Ani thought Tom and I are dating.
IVAN,They’re cousins!
IVAN,"Klara, you want a hit?"
KLARA,"Not today, Mr. Zakharov."
IVAN,"The last time Klara smoked, my mom caught her doing a cryo session."
KLARA,What did you say?
IVAN,Nothing. I promise.
ANI,"Wait, you have a cryo chamber?"
IVAN,"Yeah, my mom thinks it makes her younger. Want to try?"
IVAN,I got the keys confiscated because I brought the Porsche to a take- over and fucked up the bumper. My parents are assholes.
CRYSTAL,Is this coke or K?
ANI,Calvin Klein.
DASHA,The best K I’ve ever had was in Vegas.
IVAN,Great idea. Let’s go to Vegas right now!
HOTEL MANAGER,"Welcome back to Caesars Palace, Mr. Zakharov. Your suite is just about ready. We didn’t know you were coming and the suite was occupied but they’re out and housekeeping should be done any minute."
IVAN,"What the fuck, man. You mean I have to wait..."
IVAN,"I’m fucking with you, man! No problem. We’ll be on the floor! It’s great to be back!"
CRYSTAL,"What a life, right?"
DASHA,Yeah right you would.
CRYSTAL,I bet they’re going to have make-up sex.
ANI,And it’s going to be crazy.
CRYSTAL,You know... I only fuck FOB’s.
ANI,Oh yeah? How many FOB’s have you fucked?
CRYSTAL,"I mean... well my ex was a FOB and he’s the only guy I’ve ever fucked... but you know, I plan to only fuck FOB’s moving forward."
ANI,Cool. They can be fun.
ANI,"Ok, hold on. You know... it could last longer and be better if you take it easy. Here... just let me."
ANI,I hope you had fun this week.
IVAN,I hope you had fun this week.
ANI,I did. We should do it again sometime.
IVAN,I leave to go back to Russia at the end of the month. I promised my dad that I’d start working for his company.
ANI,Oh... it all makes sense now.
ANI,I’m gonna miss you. Does that sound weird?
IVAN,You’ll miss me or my money?
ANI,"Money, of course."
IVAN,"If I got married to an American, I would never have to go back."
